hotel,Rating,totalScore,Asp_0,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Asp_6,Asp_7,Asp_8,Asp_9,Asp_10,Asp_11,Asp_12,Asp_13,Asp_14,Asp_15,Asp_16,Asp_17,Asp_18,Asp_19
A Victory Inn Tolleson,1.5 , 0.000947286627909834,0,0,0,0.000947286627909834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKA Central Park,4.5 , 0.09702882848792174,0.008049130189154367,0,0.01223581418157187,0.00241107095471325,0,0,0.03135143832006169,0,0,0.004942894971896066,0.015596311506413819,0,0.016432449129412906,0,0.017834980952297415,0.00016182412561479602,0.003010293953051334,0.0004101107474541362,0.0010240681484886805,0.001541527894830063
Airport Traveller s Inn,2.0 , 0.0034303473220354485,0.001592748055115522,0,0,0,8.254333042534306e-05,0,0,0,0,0,0,0,0,0,0.0017550559364945834,0,0,0,0,0
Alexandra Hotel,3.0 , 0.05093320433249596,0.0035051118898359324,0,0.0021559661864735576,0,0,0,0.01584024225918748,0,0,0,0.012570047656488123,0,0.014936497077792512,0,0.013608962975339891,0,0,0,0.001965926161695289,0
Alexis Park Resort,3.0 , 0.07951797324933023,0.0052553621078921964,0,0.005207655147382409,0.004162558156952862,0.0022858234719207093,0,0.018519833999264428,0,0,0.0025344364043085716,0.01068623437524428,0,0.01857494397437387,0.0028501172288623523,0.01329938869910339,0,0.005075934352840639,0.0027314651180353347,0.00023561219500950652,0.0031092594421389622
American Dream Hostel,4.0 , 0.07719021106388951,0.0010117574241311448,0,0,0.004529035505246946,0.011070575637685444,0,0.012630754485821814,0,0,0,0.015563853582303918,0,0.013212548822638153,0.012353611851438642,0.02923622881370182,0.00032987726703559894,0,0,0,0
B.M.P. Residence,2.5 , 0.03793482016615527,0.006345707116912626,0,0,0.0012973696743853536,0,0,0.006656028447577124,0,0,0.0033581165557751273,0.010265964511025686,0,0.005863104357683819,0,0.010459062311791611,0,0,0.0007150024013745594,0,0.004981256324282231
Bakers Hotel,2.5 , 0.02247985536095794,0,0,0,0,0,0,0,0,0,0,0,0,0.021143817898518324,0,0.0013360374624396157,0,0,0,0,0
Banyan Leaf Hotel,4.0 , 0.08852179115215367,0.005996205472359043,0,0,0,0,0,0.03921649863907156,0,0,0.005795112825991759,0.010768281464648673,0,0.008416294479789147,0.005965136563935826,0.021152479300003454,0,0.0020717601198105614,0.0023853712982361054,0,0.00788021774779426
Belfort Hotel,2.0 , 0.03469550250261274,0,0,0,0,0,0,0.013795524487262139,0,0,0,0.002696379966920336,0,0.012459835763673996,0.0033779551985307736,0.00777852102476833,0,0,0.0007736992216739047,0,0
Berkeley Court,1.5 , 0.025037637725787997,0.0008427853358955013,0,0,0,0,0,0.009013564455708173,0,0,0,0.0026549225347992566,0,0.011012625252587546,0,0.004944281515672703,0,0,1.059284499712131e-05,0,0
Best Western Copper Hills Inn,4.5 , 0.06688595622318623,0.0034354899364403384,0,0,0.00031106371731972563,0,0,0.027325474091474598,0,0,0.001467879829270237,0.012485960064425306,0,0.014344063978059063,0.009058998045814877,0.019439955264944672,0,0.0025151662326589664,0,0,0.0026837214079085125
Best Western Gold Canyon Inn & Suites,4.0 , 0.05622992711181704,0.0041801233284982555,0,0,0.00044538446399502795,0,0,0.02337872745355459,0,0,0.0017756568441583494,0.011138601599620074,0,0.010461754417978943,0.0053516927629487475,0.01704538443252391,0,0.002497059940836226,0,0,0.003967475281895792
